date,source,region,category,layer,title,contents,url
2026-01-06,36Kr,East Asia,Funding,Fine-tuning & MLOps,36氪首发 | 开源异构算力调度平台「密瓜智能」获复星创富数千万元投资，为企业提供高效灵活算力解决方案,"Chinese AI startup Dynamia.ai completed angel-round funding from Fuxing Wealth for several million yuan to commercialize HAMi, an open-source heterogeneous GPU scheduling platform that improves resource utilization from 10-20% to over 2x by enabling sub-GPU allocation and cross-vendor chip adaptation.",https://36kr.com/p/3626190603568384?f=rss
2026-01-06,36Kr,East Asia,IPO,Foundation Models,MiniMax超额认购1209倍，1月9日正式上市,"Chinese AI startup MiniMax is raising approximately HK$2.53 billion ($325 million) in its Hong Kong IPO, with shares pricing at HK$151-165 and public offering oversubscribed 1,209 times, positioning the company as a leading AI voice and multimodal model provider.",https://36kr.com/newsflashes/3627541140784390?f=rss
2026-01-06,36Kr,East Asia,Expansion,Foundation Models,格灵深瞳在北京成立人工智能科技公司,"Gleam Deep Vision established a Beijing-based AI software subsidiary with 50 million yuan registered capital, expanding its focus on AI infrastructure software development and system integration services.",https://36kr.com/newsflashes/3627525676942342?f=rss
2026-01-06,36Kr,East Asia,Product Launch,Consumer Applications,协创数据：融梦AI眼镜由公司参股企业子公司推出，预计2026年第一季度启动量产,"DreamworldAI's subsidiary launched a new AI smart glasses product targeting Q1 2026 mass production, advancing the company's position in spatial computing and augmented reality hardware.",https://36kr.com/newsflashes/3627467486643209?f=rss
2026-01-06,36Kr,North America,Product Launch,Chips & Infrastructure,AMD推出下一代新品，4年内AI芯片性能有望提升1000倍,"AMD announced its next-generation MI455 GPU using advanced chip manufacturing with HBM4 memory and plans MI500 series chips by 2027, targeting a 1000x performance improvement in AI chips over four years.",https://36kr.com/newsflashes/3627408088220681?f=rss
2026-01-06,Caixinglobal,East Asia,Funding,Consumer Applications,China’s Telecom Giants Back Smart-Glasses Maker RayNeo in $143 Million Funding Round,"Shenzhen AR smart-glasses maker RayNeo raised over $143 million in funding co-led by China Mobile and CITIC Goldstone, marking major Chinese telecom firms' bet on spatial computing hardware.",https://www.caixinglobal.com/2026-01-06/chinas-telecom-giants-back-smart-glasses-maker-rayneo-in-143-million-funding-round-102400654.html?originReferrer=Feedly
2026-01-06,BBC,Global,Partnership,Chips & Infrastructure,Nvidia unveils 'reasoning' AI technology for self-driving cars,"Nvidia unveiled Alpamayo, an open-source AI reasoning platform for autonomous vehicles that enables self-driving cars to think through complex scenarios and explain decisions, with production beginning on a Mercedes-Benz CLA launching in the US within months. The platform is available on Hugging Face for free, allowing researchers to retrain the model for their autonomous vehicle projects.",https://www.bbc.com/news/articles/c0jv1vd571wo?at_medium=RSS&at_campaign=rss
2026-01-06,TechCrunch,North America,Product Launch,Chips & Infrastructure,AMD unveils new AI PC processors for general use and gaming at CES,AMD announced the latest version of its AI-powered PC chips designed for a variety of tasks from gaming to content creation and multitasking.,https://techcrunch.com/2026/01/05/amd-unveils-new-ai-pc-processors-for-general-use-and-gaming-at-ces/
2026-01-06,Analytics India Mag,North America,Product Launch,Chips & Infrastructure,Intel launches Core Ultra Series 3 AI PC platform at CES 2026,"Intel unveiled its Core Ultra Series 3 processors (Panther Lake) at CES 2026, built on the Intel 18A manufacturing process and designed to power over 200 PC designs with improved power efficiency, AI capabilities, and up to 50 TOPS of neural processing performance. Consumer laptops featuring Core Ultra Series 3 will begin shipping January 27, with pre-orders starting January 6.",https://analyticsindiamag.com/ai-news-updates/intel-launches-core-ultra-series-3-ai-pc-platform-at-ces-2026/
2026-01-06,Zdnet,North America,Other,Chips & Infrastructure,"삼성전자, 올해 핵심 사업전략은 'AI·M&A' 동시 강화","Samsung Electronics CEO announced at CES 2026 that the company will integrate AI across all products and services as its core business strategy, with goals to ship 400 million AI-enabled devices by 2026. The strategy includes applying Samsung's proprietary AI technology across mobile, TV, and appliances while leveraging partnerships with various AI platforms.",https://zdnet.co.kr/view/?no=20260106083228
2026-01-06,Zdnet,East Asia,Product Launch,B2B Applications,"한전KPS, ‘AI+드론’ 기술로 송전선 주변 위험수목 잡아낸다","Korean power equipment specialist Hanwha Q Cells developed an AI-integrated drone technology system to automatically detect hazards near high-voltage transmission lines, reducing worker safety risks. The system uses 3D point cloud data and AI analysis to predict power line faults and damage, with plans to deploy it across major transmission facilities.",https://zdnet.co.kr/view/?no=20260106134827
2026-01-06,Zdnet,Global,Other,Chips & Infrastructure,"[SW키트] AI 인프라 비용 폭증 시대…""엣지·분산 클라우드로 탈피""","As global AI infrastructure costs surge due to GPU demands, Korea's tech industry is adopting distributed edge computing and on-device AI strategies to reduce data center expenses. Companies like Akamai are building platforms using low-power neural processing units embedded in devices like smartphones and appliances to enable local AI inference.",https://zdnet.co.kr/view/?no=20260106123425
2026-01-06,Zdnet,Global,Product Launch,Fine-tuning & MLOps,"""암기력보다 실무 추론""…데이터브릭스, 기업용 AI 벤치마크 공개","DataBricks released OfficeQA, an open-source enterprise AI benchmark based on 80,000 real-world documents, to evaluate AI systems' ability to handle complex business tasks like searching documents and analyzing PDFs. The benchmark prioritizes practical reasoning over general knowledge, providing a more accurate assessment of AI performance in actual office environments.",https://zdnet.co.kr/view/?no=20260106133553
2026-01-06,Zdnet,North America,Product Launch,B2B Applications,"엔비디아-벤츠 자율주행차 타 봤더니…""테슬라 긴장해""","Nvidia unveiled Alpamayo, an autonomous driving AI model using vision-language-action technology, that processes camera and sensor data end-to-end to make driving decisions without predefined rules. The AI will first launch in Mercedes-Benz's 2025 CLA sedan and is expected to achieve Level 2++ autonomous driving capabilities by 2026, with potential Level 3 full autonomous driving by 2028.",https://zdnet.co.kr/view/?no=20260106102912
2026-01-06,Zdnet,East Asia,Product Launch,Consumer Applications,"""클로이드, 탁자 위 수건 개어줘""…LG AI홈 혁신 즐비","LG Electronics introduced CLOiD, an AI home robot with spatial awareness that performs household tasks like detecting obstacles and managing temperature, alongside premium AI-enhanced TVs featuring its third-generation Alpha 11 processor with 5.6x faster NPU performance and multi-AI services including Google Gemini.",https://zdnet.co.kr/view/?no=20260106084049
2026-01-06,Zdnet,Global,Product Launch,B2B Applications,휴머노이드 최대 격전지는 '물류'…2030년 도입율 25% 전망,"Humanoid robots are projected to capture 25% of global warehouse and material handling deployments by 2030, with companies like GXO, Reflexbotics, and X1 already deploying humanoid robots in logistics, as their adaptability to complex warehouse environments outperforms traditional automation systems.",https://zdnet.co.kr/view/?no=20260106123752
2026-01-06,Zdnet,North America,Product Launch,Fine-tuning & MLOps,"엔비디아, AI 추론 병목현상 줄이는 스토리지 플랫폼 공개","Nvidia announced a storage platform using BlueField4 data processing units to efficiently manage AI inference cache data separately from GPU memory, enabling up to 5x throughput improvement and significantly reducing latency for large-scale AI systems compared to traditional approaches.",https://zdnet.co.kr/view/?no=20260106123734
2026-01-06,Zdnet,North America,Product Launch,Chips & Infrastructure,"AMD, AI PC 겨냥 '라이젠 AI 400' 프로세서 공개","AMD launched the Ryzen AI 400 processor with up to 12 cores and 60 TOPS NPU performance for AI PCs, positioning it 1.3x faster than Intel Core Ultra 288V in multi-tasking and delivering competitive performance against Nvidia's Blackwell in AI workloads through its XDNA 2 architecture.",https://zdnet.co.kr/view/?no=20260105183221
2026-01-06,Zdnet,North America,Product Launch,B2B Applications,"젠슨 황이 꺼낸 든 자율주행 AI '알파마요', 어떻게 구현했나","Nvidia's Alpamayo autonomous driving AI demonstrated complex decision-making by recognizing obstacles and executing lane changes during a CES showcase, representing a major advancement over traditional rule-based autonomous systems through end-to-end learning from diverse real-world driving scenarios.",https://zdnet.co.kr/view/?no=20260106115226
2026-01-06,Zdnet,South Asia,Partnership,Foundation Models,"美 CES 찍고 오픈AI·엔비디아 본사로…정부, 'AI 동맹' 가속 페달","South Korea's government delegation plans to visit OpenAI and Nvidia headquarters to accelerate AI infrastructure partnerships, aiming to expand GPU procurement and implement specific public-sector AI projects outlined in an MOU signed in October 2025.",https://zdnet.co.kr/view/?no=20260106114625
2026-01-06,Zdnet,South Asia,Product Launch,Foundation Models,"업스테이지, '솔라 오픈' 공개…""딥시크·GPT 성능 넘어""","Upstage released Solar Open 100B, an open-source large language model that outperforms DeepSeek R1 and OpenAI's GPT-OSS-120B across multiple benchmarks, particularly in Korean language tasks where it achieved 2x higher performance on knowledge evaluation benchmarks.",https://zdnet.co.kr/view/?no=20260106111804
2026-01-06,Nytimes,North America,Partnership,Chips & Infrastructure,Nvidia Details New A.I. Chips and Autonomous Car Project With Mercedes,"Nvidia unveiled its new Vera Rubin AI chip, named after the astronomer who discovered dark matter, and announced a partnership with Mercedes-Benz to develop autonomous vehicle technology. The collaboration will leverage Nvidia's latest hardware to accelerate self-driving capabilities in Mercedes vehicles.",https://www.nytimes.com/2026/01/05/technology/nvidia-chips-mercedes.html
2026-01-05,Techcabal,Africa,Funding,B2B Applications,Japan’s SORA Technology raises $2.5 million to scale health drones in Africa,"Japan-based SORA Technology raised $2.5 million in its second close of late-seed funding to scale AI-powered drone solutions for malaria control and disease forecasting across Africa. The funding brings total capital to $7.3 million, with the company already deployed in over 10 African countries and partnered with the WHO for mosquito control initiatives.",https://techcabal.com/2026/01/05/japans-sora-technology-secures-fresh-2-5m/
2026-01-05,36Kr,East Asia,Partnership,Foundation Models,氪星晚报｜人工智能公司加大力度挑战谷歌在浏览器市场的主导地位；字节“豆包”AI眼镜即将进入出货阶段，将分版本推出；2025年国家铁路运输总收入首次突破万亿,"Samsung plans to deploy Google's Gemini AI on 800 million mobile devices in 2026, while Chinese AI firms are competing to challenge Google's browser dominance; ByteDance's smart glasses and Meituan's autonomous robotics are nearing commercialization phases.",https://36kr.com/p/3626249137652741?f=rss
2026-01-05,36Kr,East Asia,Funding,B2B Applications,前中金、甲骨文团队再创业，其AI智能自动化平台渗透三成央企，再获亿元融资 | 硬氪首发,"Nine Science Information, a Beijing-based intelligent automation platform provider founded by former Zhongzhi executives, completed B2 funding over 100 million yuan from Shenzhen Special Fund to scale its bit-Agent AI system that enables autonomous business decision-making through multimodal LLMs and RPA, achieving 30% penetration in Chinese central SOEs.",https://36kr.com/p/3625896773240067?f=rss
2026-01-05,36Kr,East Asia,Funding,B2B Applications,科沃斯参股基金投了一家柔性触觉感知公司，产品已上车头部新势力｜硬氪首发,Shanghai Weaving Wisdom completed Pre-A funding of nearly 100 million yuan led by Evolve Capital to develop flexible textile pressure sensors for robotics and wearables; the fabric-integrated sensing technology improves human-robot interaction and can scale to large curved surfaces.,https://36kr.com/p/3618139468923911?f=rss
2026-01-05,Caixinglobal,North America,Acquisition,Chips & Infrastructure,Trump Orders Chinese-Controlled Firm to Unwind Purchase of U.S. Chip Assets,"President Trump ordered a Chinese-controlled company to divest its acquisition of aerospace and defense manufacturer Emcore Corp.'s assets, citing national security concerns over U.S. chip technology.",https://www.caixinglobal.com/2026-01-05/trump-orders-chinese-controlled-firm-to-unwind-purchase-of-us-chip-assets-102400291.html?originReferrer=Feedly
2026-01-05,Caixinglobal,East Asia,IPO,B2B Applications,"Robot-Maker Unitree’s IPO Expected by Mid-2026, Source Says","Chinese robotics manufacturer Unitree Robotics is on track for a domestic IPO expected to complete by mid-2026, despite recent media reports suggesting the fast-track approval process was suspended.",https://www.caixinglobal.com/2026-01-05/robot-maker-unitrees-ipo-expected-by-mid-2026-source-says-102400282.html?originReferrer=Feedly
2026-01-05,Financial Times,Global,Partnership,Foundation Models,AI start-ups take on Google in fight to reshape web browser market,Unable to summarize - full article content not available (paywall protected).,https://www.ft.com/content/5d566029-6aee-4627-a665-81108a1eb70e
2026-01-05,Techfundingnews,North America,Funding,B2B Applications,"Antler bags $510M in new funds, half for the US founders, as Airalo and Lovable soar to unicorn","Antler, a company-building platform providing seed investments and mentorship to early-stage founders, closed $510 million in new funding across US, European, and Asian funds, with half allocated to US startups. The platform has backed over 1,800 startups including unicorns Airalo (eSIM technology) and Lovable (AI code generation platform).",https://techfundingnews.com/antler-510m-raise-us-expansion-unicorns/
2026-01-05,AI Business,North America,Product Launch,Chips & Infrastructure,Nvidia intros six new AI chips and new open models,Unable to summarize - insufficient full content provided.,https://aibusiness.com/generative-ai/nvidia-intros-new-ai-chips-and-open-models
2026-01-05,BBC,Global,Other,Consumer Applications,Ofcom asks X about reports its Grok AI makes sexualised images of children,"UK regulator Ofcom made urgent contact with Elon Musk's xAI following reports that Grok, a free AI chatbot on X, can generate sexualized images of children and non-consensual intimate imagery of women. The European Commission, UK authorities, and regulators in France, Malaysia, and India are investigating the matter.",https://www.bbc.com/news/articles/c5y5w0k99r1o?at_medium=RSS&at_campaign=rss
2026-01-05,TechCrunch,North America,Other,Foundation Models,Microsoft’s Nadella wants us to stop thinking of AI as ‘slop’,"Microsoft CEO Satya Nadella called for reframing AI as a ""scaffolding for human potential"" and cognitive amplifier tool rather than a replacement for workers or low-quality content. His position contrasts with other AI leaders who have warned the technology could eliminate 50% of entry-level white-collar jobs within five years.",https://techcrunch.com/2026/01/05/microsofts-nadella-wants-us-to-stop-thinking-of-ai-as-slop/
2026-01-05,TechCrunch,North America,Product Launch,Chips & Infrastructure,Nvidia wants to be the Android of generalist robotics,"Nvidia released an open-source robotics ecosystem at CES 2026, including foundation models Cosmos Predict 2.5, Cosmos Reason 2, and Isaac GR00T N1.6, plus Isaac Lab-Arena simulation framework and OSMO command center, positioning itself as the default platform for generalist robots. The models enable robots to reason, plan, and adapt across multiple tasks and environments rather than performing narrow task-specific functions.",https://techcrunch.com/2026/01/05/nvidia-wants-to-be-the-android-of-generalist-robotics/
2026-01-05,TechCrunch,North America,Product Launch,Chips & Infrastructure,Nvidia launches powerful new Rubin chip architecture,"Nvidia launched its Rubin GPU architecture at CES 2026, featuring a six-chip system designed to handle exponentially growing AI computation demands with improvements in storage and interconnection. The architecture is already in full production and will be deployed by major cloud providers including Anthropic, OpenAI, and AWS, as well as in HPE's Blue Lion supercomputer.",https://techcrunch.com/2026/01/05/nvidia-launches-powerful-new-rubin-chip-architecture/
2026-01-05,TechCrunch,North America,Product Launch,Foundation Models,"Nvidia launches Alpamayo, open AI models that allow autonomous vehicles to ‘think like a human’","Nvidia released Alpamayo, an open-source family of AI models and simulation tools enabling autonomous vehicles to reason through complex driving scenarios by breaking problems into steps, similar to human thinking. The 10 billion-parameter model is available on Hugging Face and allows developers to fine-tune it for simpler driving systems or build auto-labeling and evaluation tools.",https://techcrunch.com/2026/01/05/nvidia-launches-alpamayo-open-ai-models-that-allow-autonomous-vehicles-to-think-like-a-human/
2026-01-05,TechCrunch,North America,Product Launch,Consumer Applications,Amazon’s AI assistant comes to the web with Alexa.com,"Amazon launched Alexa.com and a revamped Alexa mobile app featuring its AI-powered Alexa+ assistant as a web-based chatbot, expanding beyond 600 million Echo devices globally. The platform enables users to control smart home devices, manage calendars, make reservations, and access integrated services from Angi, Expedia, Square, and Yelp.",https://techcrunch.com/2026/01/05/alexa-without-an-echo-amazons-ai-chatbot-comes-to-the-web-and-a-revamped-alexa-app/
2026-01-05,TechCrunch,North America,Product Launch,Consumer Applications,Google previews new Gemini features for TV at CES 2026,"Google previewed new Gemini AI features for Google TV devices at CES 2026, enabling voice-controlled content discovery, photo and video editing with AI, educational deep-dives, and voice-based TV settings adjustments. The features will first roll out to select TCL televisions before broader deployment across other Google TV devices.",https://techcrunch.com/2026/01/05/google-previews-new-gemini-features-for-tv-at-ces-2026/
2026-01-05,Analytics India Mag,Southeast Asia,Partnership,B2B Applications,Manus–Meta Deal May Come Under Scrutiny From Beijing: Report,"Meta's acquisition of Singapore-based AI startup Manus faces potential Chinese regulatory scrutiny over technology export controls, as the company was founded in China in 2022 and raised $75 million in Series B funding in April 2025 before relocating headquarters. Chinese regulators may assess whether restricted technologies were transferred abroad without approval under China's tech import-export regulations.",https://analyticsindiamag.com/ai-news-updates/manus-meta-deal-may-come-under-scrutiny-from-beijing-report/
2026-01-05,Finainews,North America,Product Launch,B2B Applications,Cobalt Credit Union deploys Eltropy’s AI Voice technology,"Cobalt Credit Union deployed Eltropy's AI Voice technology to serve military members and families, achieving 83% session containment rate while maintaining high member satisfaction as one of the first credit unions using DNA core systems to implement this AI solution.",https://finainews.com/banking/cobalt-credit-union-deploys-eltropys-ai-voice-technology/
2026-01-05,Marktechpost,East Asia,Product Launch,Foundation Models,Tencent Researchers Release Tencent HY-MT1.5: A New Translation Models Featuring 1.8B and 7B Models Designed for Seamless on-Device and Cloud Deployment,"Tencent released HY-MT1.5, a multilingual translation model family with 1.8B and 7B variants supporting 33 languages, where the lightweight 1.8B model runs on devices with ~1GB memory at 0.18-second response time while outperforming commercial translation APIs in quality.",https://www.marktechpost.com/2026/01/04/tencent-researchers-release-tencent-hy-mt1-5-a-new-translation-models-featuring-1-8b-and-7b-models-designed-for-seamless-on-device-and-cloud-deployment/
